"","nivel_territorial_codigo","nivel_territorial","unidade_de_medida_codigo","unidade_de_medida","valor","unidade_da_federacao_codigo","unidade_da_federacao","ano_codigo","ano","variavel_codigo","variavel"
"50","3","Unidade da Federação","24","Cabeças",763566,"15","Pará","2010",2010,"107","Vacas ordenhadas"
"51","3","Unidade da Federação","24","Cabeças",8662,"16","Amapá","2010",2010,"107","Vacas ordenhadas"
"52","3","Unidade da Federação","24","Cabeças",526147,"17","Tocantins","2010",2010,"107","Vacas ordenhadas"
"53","3","Unidade da Federação","24","Cabeças",574335,"21","Maranhão","2010",2010,"107","Vacas ordenhadas"
"54","3","Unidade da Federação","24","Cabeças",617585,"51","Mato Grosso","2010",2010,"107","Vacas ordenhadas"
"55","3","Unidade da Federação","24","Cabeças",989643,"11","Rondônia","2011",2011,"107","Vacas ordenhadas"
"56","3","Unidade da Federação","24","Cabeças",71376,"12","Acre","2011",2011,"107","Vacas ordenhadas"
"57","3","Unidade da Federação","24","Cabeças",126623,"13","Amazonas","2011",2011,"107","Vacas ordenhadas"
"58","3","Unidade da Federação","24","Cabeças",22707,"14","Roraima","2011",2011,"107","Vacas ordenhadas"
"59","3","Unidade da Federação","24","Cabeças",795268,"15","Pará","2011",2011,"107","Vacas ordenhadas"
"60","3","Unidade da Federação","24","Cabeças",11295,"16","Amapá","2011",2011,"107","Vacas ordenhadas"
"61","3","Unidade da Federação","24","Cabeças",425443,"17","Tocantins","2011",2011,"107","Vacas ordenhadas"
"62","3","Unidade da Federação","24","Cabeças",591945,"21","Maranhão","2011",2011,"107","Vacas ordenhadas"
"63","3","Unidade da Federação","24","Cabeças",633782,"51","Mato Grosso","2011",2011,"107","Vacas ordenhadas"
"64","3","Unidade da Federação","24","Cabeças",857660,"11","Rondônia","2012",2012,"107","Vacas ordenhadas"
"65","3","Unidade da Federação","24","Cabeças",72069,"12","Acre","2012",2012,"107","Vacas ordenhadas"
"66","3","Unidade da Federação","24","Cabeças",113342,"13","Amazonas","2012",2012,"107","Vacas ordenhadas"
"67","3","Unidade da Federação","24","Cabeças",28533,"14","Roraima","2012",2012,"107","Vacas ordenhadas"
"68","3","Unidade da Federação","24","Cabeças",766593,"15","Pará","2012",2012,"107","Vacas ordenhadas"
"69","3","Unidade da Federação","24","Cabeças",12708,"16","Amapá","2012",2012,"107","Vacas ordenhadas"
"70","3","Unidade da Federação","24","Cabeças",437535,"17","Tocantins","2012",2012,"107","Vacas ordenhadas"
"71","3","Unidade da Federação","24","Cabeças",611991,"21","Maranhão","2012",2012,"107","Vacas ordenhadas"
"72","3","Unidade da Federação","24","Cabeças",589971,"51","Mato Grosso","2012",2012,"107","Vacas ordenhadas"
"73","3","Unidade da Federação","24","Cabeças",582306,"11","Rondônia","2013",2013,"107","Vacas ordenhadas"
"74","3","Unidade da Federação","24","Cabeças",77624,"12","Acre","2013",2013,"107","Vacas ordenhadas"
"75","3","Unidade da Federação","24","Cabeças",113518,"13","Amazonas","2013",2013,"107","Vacas ordenhadas"
"76","3","Unidade da Federação","24","Cabeças",30151,"14","Roraima","2013",2013,"107","Vacas ordenhadas"
"77","3","Unidade da Federação","24","Cabeças",717419,"15","Pará","2013",2013,"107","Vacas ordenhadas"
"78","3","Unidade da Federação","24","Cabeças",13124,"16","Amapá","2013",2013,"107","Vacas ordenhadas"
"79","3","Unidade da Federação","24","Cabeças",441927,"17","Tocantins","2013",2013,"107","Vacas ordenhadas"
"80","3","Unidade da Federação","24","Cabeças",620125,"21","Maranhão","2013",2013,"107","Vacas ordenhadas"
"81","3","Unidade da Federação","24","Cabeças",557104,"51","Mato Grosso","2013",2013,"107","Vacas ordenhadas"
"82","3","Unidade da Federação","24","Cabeças",773079,"11","Rondônia","2014",2014,"107","Vacas ordenhadas"
"83","3","Unidade da Federação","24","Cabeças",81342,"12","Acre","2014",2014,"107","Vacas ordenhadas"
"84","3","Unidade da Federação","24","Cabeças",110518,"13","Amazonas","2014",2014,"107","Vacas ordenhadas"
"85","3","Unidade da Federação","24","Cabeças",32658,"14","Roraima","2014",2014,"107","Vacas ordenhadas"
"86","3","Unidade da Federação","24","Cabeças",742821,"15","Pará","2014",2014,"107","Vacas ordenhadas"
"87","3","Unidade da Federação","24","Cabeças",13941,"16","Amapá","2014",2014,"107","Vacas ordenhadas"
"88","3","Unidade da Federação","24","Cabeças",467669,"17","Tocantins","2014",2014,"107","Vacas ordenhadas"
"89","3","Unidade da Federação","24","Cabeças",623347,"21","Maranhão","2014",2014,"107","Vacas ordenhadas"
"90","3","Unidade da Federação","24","Cabeças",580254,"51","Mato Grosso","2014",2014,"107","Vacas ordenhadas"
"91","3","Unidade da Federação","24","Cabeças",667350,"11","Rondônia","2015",2015,"107","Vacas ordenhadas"
"92","3","Unidade da Federação","24","Cabeças",82070,"12","Acre","2015",2015,"107","Vacas ordenhadas"
"93","3","Unidade da Federação","24","Cabeças",99128,"13","Amazonas","2015",2015,"107","Vacas ordenhadas"
"94","3","Unidade da Federação","24","Cabeças",37927,"14","Roraima","2015",2015,"107","Vacas ordenhadas"
"95","3","Unidade da Federação","24","Cabeças",710463,"15","Pará","2015",2015,"107","Vacas ordenhadas"
"96","3","Unidade da Federação","24","Cabeças",6846,"16","Amapá","2015",2015,"107","Vacas ordenhadas"
"97","3","Unidade da Federação","24","Cabeças",469663,"17","Tocantins","2015",2015,"107","Vacas ordenhadas"
"98","3","Unidade da Federação","24","Cabeças",624946,"21","Maranhão","2015",2015,"107","Vacas ordenhadas"
"99","3","Unidade da Federação","24","Cabeças",603546,"51","Mato Grosso","2015",2015,"107","Vacas ordenhadas"
